".rownames","notfullypaid.fctr","notfullypaid.fctr.predict.MFO.myMFO_classfr.prob","notfullypaid.fctr.predict.MFO.myMFO_classfr","notfullypaid.fctr.predict.MFO.myMFO_classfr.accurate"
"10","N",0.160029828486204,"N",TRUE
"100","N",0.160029828486204,"N",TRUE
"101","N",0.160029828486204,"N",TRUE
"1017","N",0.160029828486204,"N",TRUE
"1019","N",0.160029828486204,"N",TRUE
"1020","N",0.160029828486204,"N",TRUE
"1022","N",0.160029828486204,"N",TRUE
"1023","N",0.160029828486204,"N",TRUE
"1028","N",0.160029828486204,"N",TRUE
"1034","N",0.160029828486204,"N",TRUE
"104","N",0.160029828486204,"N",TRUE
"1040","N",0.160029828486204,"N",TRUE
"1048","N",0.160029828486204,"N",TRUE
"1050","Y",0.160029828486204,"N",FALSE
"1053","N",0.160029828486204,"N",TRUE
"1054","N",0.160029828486204,"N",TRUE
"1055","N",0.160029828486204,"N",TRUE
"1062","N",0.160029828486204,"N",TRUE
"1065","N",0.160029828486204,"N",TRUE
"1069","N",0.160029828486204,"N",TRUE
"1070","N",0.160029828486204,"N",TRUE
"1072","N",0.160029828486204,"N",TRUE
"1075","Y",0.160029828486204,"N",FALSE
"108","N",0.160029828486204,"N",TRUE
"1080","N",0.160029828486204,"N",TRUE
"1082","N",0.160029828486204,"N",TRUE
"1089","N",0.160029828486204,"N",TRUE
"110","N",0.160029828486204,"N",TRUE
"1100","N",0.160029828486204,"N",TRUE
"1101","N",0.160029828486204,"N",TRUE
"1102","N",0.160029828486204,"N",TRUE
"1107","Y",0.160029828486204,"N",FALSE
"1109","N",0.160029828486204,"N",TRUE
"1110","N",0.160029828486204,"N",TRUE
"1117","N",0.160029828486204,"N",TRUE
"1120","N",0.160029828486204,"N",TRUE
"1124","N",0.160029828486204,"N",TRUE
"113","N",0.160029828486204,"N",TRUE
"1131","N",0.160029828486204,"N",TRUE
"1132","N",0.160029828486204,"N",TRUE
"1133","Y",0.160029828486204,"N",FALSE
"1134","Y",0.160029828486204,"N",FALSE
"1136","N",0.160029828486204,"N",TRUE
"1146","N",0.160029828486204,"N",TRUE
"115","N",0.160029828486204,"N",TRUE
"1152","N",0.160029828486204,"N",TRUE
"1159","N",0.160029828486204,"N",TRUE
"1161","N",0.160029828486204,"N",TRUE
"1167","N",0.160029828486204,"N",TRUE
"1168","Y",0.160029828486204,"N",FALSE
"1169","N",0.160029828486204,"N",TRUE
"117","N",0.160029828486204,"N",TRUE
"1176","Y",0.160029828486204,"N",FALSE
"1177","N",0.160029828486204,"N",TRUE
"1179","N",0.160029828486204,"N",TRUE
"118","N",0.160029828486204,"N",TRUE
"1181","N",0.160029828486204,"N",TRUE
"1184","N",0.160029828486204,"N",TRUE
"1189","N",0.160029828486204,"N",TRUE
"1195","N",0.160029828486204,"N",TRUE
"1198","N",0.160029828486204,"N",TRUE
"12","N",0.160029828486204,"N",TRUE
"1200","N",0.160029828486204,"N",TRUE
"1205","Y",0.160029828486204,"N",FALSE
"1208","N",0.160029828486204,"N",TRUE
"121","N",0.160029828486204,"N",TRUE
"1210","N",0.160029828486204,"N",TRUE
"1212","N",0.160029828486204,"N",TRUE
"1221","N",0.160029828486204,"N",TRUE
